Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
I need a 3D design logo,Design,Entry ($),3D Design,GBP,46.0,remote,ALL,fixed_price,2023-01-30 15:18:52,"I need a 3D design logo in SILVER METALIC FINISH to look like the picture of the medal attached but to say:
NOBILITY SOCIETY 
instead of 'NOBILIS' which is on the medal?
This is a LOGO. Approximately 5cm X 5cm.",,2020-01-04,Castelo Branco,Portugal,EUR,
Two interactive websites needed,Technology & Programming,Expert ($$$),Website Development,GBP,500.0,remote,ALL,fixed_price,2023-01-30 15:03:22,"Hello all:-

We are looking to create two websites that are similar and different at the same time. 

The first site is designed for drivers who wish to join our taxi company to put their details and upload their credentials, insurances, licenses etc. What am looking for in the design of this website is an element of interactivity. For example the landing page would welcome the driver, and ask him for his first name, then when the driver inputs the name they press next, and it asks them for their last name, and so on. Every page that comes after that will ask for a required information for registration. For example it will ask for their vehicle make and model, it will ask to upload their picture, and so on. I hope I explained myself very well. We do have an active domain we would like to use, also this website must work in the same way on mobile as well as desktop. 
All the uploaded information should come to our email for us to process. 

The second website is different, as it is for a sister company that deals in crypto. We want the same style of page design where the customer is asked questions and according to their answers are led on to the next appropriate page. 

The premise for the second website is to trade crypto for cash. There will be an element of API to the crypto exchange to get accurate and updated prices. Also, as with the website above, the answers should be complied and send to our email to process.

Thanks for your time",,2013-07-07,London,United Kingdom,GBP,
Layout and design of Retail Shop floor space,Design,Expert ($$$),Interior/Exterior Design,GBP,200.0,remote_country,GB,fixed_price,2023-01-30 15:02:23,"We will provide photos and measurements of the shop floor, this needs to be redesigned to flow better, and include new areas for display of products, and best utilise the space we have internally. You will be required to pull the sizes of the shelf systems and product displays from the internet and then provide the best layout for the business. 

We WILL be required to have a chat on the phone before commencement of work, to ensure we are all on the same page. 

UK based designer required

Would be better if you have past experience within this sector to understand what products we require to be displayed within the shop. ",Not sure,2014-02-10,London,United Kingdom,GBP,We work with Industry Experts
EMBROIDERED SHIRT Sampling 32 x 15cm ,Design,Expert ($$$),Fashion & Clothing,GBP,100.0,remote,ALL,fixed_price,2023-01-30 14:36:27,"Do you have an embroidery machine capable of doing large embroidered panels.

I have a button up shirt that I would like to have machine embroidered, single colour and with mock up for placement. Artwork ready. Panel measures 32 x 15cm

UK BASED ONLY PLEASE",,2021-05-15,Islington,United Kingdom,GBP,
"Backup, Update test evironment and then Update softwar on server",Technology & Programming,Entry ($),Website Development,GBP,100.0,remote,ALL,fixed_price,2023-01-30 14:36:27,"We have a server on Google compute VM that we would like to backup, create a test site and then upgrade.
The software we want to upgrade is Moodle

https://docs.moodle.org/401/en/Upgrading

basically we need to.....

Backup all data and files
Verify compatibility of plugins and themes
Check for any custom code or modifications
Read release notes for new features and changes
Test on a development or staging environment
Update in a scheduled maintenance window
Verify functionality and data integrity after the upgrade
Keep current with security updates and patches.",,2012-10-23,Weston-super-Mare,United Kingdom,GBP,Technical Manager
Need logo for travel/fashion blog,Design,Entry ($),Logo Design,GBP,30.0,remote,ALL,fixed_price,2023-01-30 14:38:13,I need a logo created for a brand new travel and fashion-focussed blog. Have some ideas that are all pretty simple but am open to ideas/suggestions. Looking for someone with experience with creating more feminine-looking logos,,2018-01-19,Nottingham,United Kingdom,GBP,Graphic Designer and Website Developer
Authentic Video Spokesperson Wanted for B2B Brand Content ,"Video, Photo & Image",Entry ($),Videography,USD,60.0,remote,ALL,fixed_price,2023-01-30 14:38:13,"We are seeking a talented American actor to bring authenticity to our B2B brand content.

This is a great opportunity for exposure and regular income.

Candidates should have experience in acting and a strong ability to perform in an authentic style.

If you are a dedicated and passionate actor, we want to hear from you.

Please submit your headshot, resume, and reel to olya@celery.io for consideration.",,2023-01-30,Lisbon,Portugal,EUR,
Proposed construction drawings,Design,Expert ($$$),Computer-Aided Design (CAD),GBP,132.0,remote,ALL,fixed_price,2023-01-30 14:34:25,I need a draughtsman or architectural technician to do a drawing showing a dormer roof and converted garage to the floorplans attached.,,2019-05-22,London,United Kingdom,GBP,
3D Model from 2D Graphic for 3D Printing,Design,Entry ($),3D Design,GBP,90.0,remote,ALL,fixed_price,2023-01-30 14:35:44,"Looking for a highly skilled 3D modeling professional with a creative mind to translate a complex 2D graphic into 3 dimensions for the purpose of 3D printing. 

Attached, please find an example of what may be requested. ",,2023-01-30,Keflavik,Iceland,USD,
Manual data entry into spreadsheet,Technology & Programming,Expert ($$$),Databases,GBP,363.0,remote,ALL,fixed_price,2023-01-30 14:35:04,"Hello, 

Please see attached for example waiver. I am looking for someone to transfer the information from the waiver into a spreadsheet. Upwards of 50,000 waivers per year. 

If you could please let me know the cost per 1,000 waivers that would be great. Id be looking for someone to do 800-1,000 each week. Thank you. ",,2023-01-19,London,United Kingdom,GBP,
Change background colour,"Video, Photo & Image",Expert ($$$),Image Editing,GBP,100.0,remote,ALL,fixed_price,2023-01-30 14:34:25,"I need 150+ images to be editied so the background looks the same in all images. Please see the example I have uploaded, the left image background needs to be like the image on the right. I need this changed for over 150 images.",,2022-03-05,Beckton,United Kingdom,GBP,
Find contact details for 84 leads,Business,Entry ($),Administration Assistance,GBP,10.0,remote,ALL,fixed_price,2023-01-30 14:24:22,"Hi 

I have a list of 84 leads for which I need contact name and email address for senior management

",,2016-12-16,Chatham,United Kingdom,GBP,
Gather all business on this list,Technology & Programming,Entry ($),Databases,GBP,35.0,remote,ALL,fixed_price,2023-01-30 14:02:35,"Hello, 

Please see link below. This is a list on Zupla, of all UK Commercial estate agents. 

I am looking for someone to create a list of all companies, there name and website URL in a spreadsheet please 

https://www.zoopla.co.uk/find-agents/commercial-agents/",,2021-09-11,Stratford-upon-Avon,United Kingdom,GBP,
Website maintenance an improvement ,Technology & Programming,Expert ($$$),Website Development,USD,340.0,remote,ALL,fixed_price,2023-01-30 14:02:34,I need help with existing website - it was not maintained for a period of time and has loading/security issues. I also want suggestions to improve it and make it run smooth. kleencondition.ca,,2014-02-27,Mississauga,Canada,USD,
Shopify website to sell products ,Design,Expert ($$$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-30 13:59:35,"Website designer required who knows how to use Shopify at an advanced level and who can provide examples of previous website designs and set up on Shopify. 

PORTFOLIO & TESTIMONIALS A MUST.
Generic proposals will automatically be rejected. 
Price - to be discussed.",,2018-02-02,Preston,United Kingdom,GBP,
logo design ,Design,Expert ($$$),Logo Design,GBP,81.0,remote,ALL,fixed_price,2023-01-30 13:46:27,"We need a logo for out company about children being happy. The company is called Livin The Best Life and we want the initials LTBT in an infinity sign. 

We like the colours coral and pastel colours ",,2023-01-05,Cardiff,United Kingdom,GBP,
"Only living in Australia, 4 hour job from smartphone ",Business,Expert ($$$),Administration Assistance,EUR,100.0,remote_country,AU,fixed_price,2023-01-30 13:46:12,"Only for freelancers living in AUSTRALIA or New Zealand now.
Don't send your candidature if you are not.

Need 2 freelancers. Easy for beginners.

No special skills required, you will need to do some tasks on your smartphone for testing apps, will be guided and all instructions provided.

will takes about 3 hours.",1 day or less,2019-01-22,Camden,United Kingdom,EUR,.
Business Name and Brand Design & Logo Development Specialists,Business,Expert ($$$),Finance & Accounting,GBP,160.0,remote,ALL,fixed_price,2023-01-30 13:39:58,"We plan to start an accounting outsourcing business and look for catchy brand names.

We will start with accounting in the UK, and gradually we will expand to a different country in a year or two.

I need someone can work on :

- catchy brand names ( should consider available domain and trademark registration while suggesting the name )
- Business branding starting with Logo and another requirement.
- We can also request website development in future.
- We would prefer only experts.

",1 - 6 months,2020-12-22,Harrow,United Kingdom,GBP,Director
Aromatherpist needed for content creation ,Writing & Translation,Expert ($$$),Content Writing,USD,109.0,remote,ALL,fixed_price,2023-01-30 13:30:33,Looking for an aromatherapist to create a simple guide on on understanding how to use each essential oil,,2021-11-23,Birmingham,United Kingdom,GBP,
"A range of tasks across a WP site, completed to strict deadline.",Technology & Programming,Intermediate ($$),Website Development,GBP,25.0,remote,ALL,hourly,2023-01-30 13:24:41,"Hello,

I'm looking for a developer who has the time and commitment to complete a list of benchmarked tasks across a client's new WP site. Site almost complete, but these handful of actions are essential before it can be signed off. All work on the functionality has to be robust, reliable and delivered on time. No room for manoeuvre here, I'm afraid! 

UK provider preferred, simply for nearness and time zones. More details on request.

Many thanks",,2011-12-20,Nottingham,United Kingdom,GBP,Creative Director
Spanish to English Live translation via Microsoft Teams,Writing & Translation,Intermediate ($$),Translation,USD,100.0,remote,ALL,fixed_price,2023-01-30 13:15:20,"I need someone to join a microsoft teams meeting and translate from Spanish to English for a live audience.  From 11am EST to noon EST today, January 30, 2023.",,2021-04-05,Cincinnati,United States,USD,
"wordpress website, GoDaddy domain",Technology & Programming,Entry ($),Website Development,GBP,10.0,remote,ALL,hourly,2023-01-30 12:52:29,"Hey there, I am developing website for my fashion brand and need technical help - someone who can work with me through. Let me know if you are interested and if you have an affordable price so we can discuss the details. 

Cheers,
Mira",,2023-01-30,London,United Kingdom,GBP,
We're Looking For a Catalogue Content Specialist!,Writing & Translation,Expert ($$$),Content Writing,GBP,750.0,remote,ALL,fixed_price,2023-01-30 12:52:29,"We're a UK-based brand that is looking for an experienced catalogue specialist to assist us with the creation of a seasonal catalogue. This is a time-sensitive project and the chosen writer will need to be able to have the content completed by the 5th of February (the catalogue is going to be 32 pages, split between content and imagery)

If you'd like to apply please submit any catalogue examples from your portfolio along with confirmation that you are free to work on this to meet the above-mentioned deadline.",,2022-09-08,Bridge of Earn,United Kingdom,GBP,
writer needed to help with fashion CV/resume/coverletters,Writing & Translation,Expert ($$$),"Resumes, CVs & Cover Letters",GBP,100.0,remote,ALL,fixed_price,2023-01-30 12:52:29,"I am a fashion designer who needs someone with experience who can help me update and streamline my resume and CV and making it as strong as possible. 

please be able to provide examples of previous work.
",,2017-05-21,Beckton,United Kingdom,GBP,
I need a custom email address created on GMAIL for my business,Technology & Programming,Entry ($),Email Template Development,GBP,6.0,remote,ALL,fixed_price,2023-01-30 12:52:29,"I have purchased a domain with IONOS.

Now i would like to create an email ""Info@businessname.co.uk

But i would like this to be on gmail so i can login easily",,2020-12-03,Harrow,United Kingdom,GBP,
English to Oromo Translation,Writing & Translation,Entry ($),Translation,GBP,20.0,remote,ALL,fixed_price,2023-01-30 12:52:29,We need a letter translated from English in to Oromo with 3 days - ,less than 1 week,2012-10-20,Bristol,United Kingdom,GBP,Operations Manager Language Services UK Limited
Data Scrape - Machining and Precision Engineering,"Marketing, Branding & Sales",Expert ($$$),Strategy & Research,GBP,150.0,remote,ALL,fixed_price,2023-01-30 12:35:11,"I need 2,000 contacts from Machining and Precision Engineering Companies, with a maximum of 3 contacts per company in the UK & Europe.

UK SIC codes:
28490	Manufacture of other machine tools
25110 	Manufacture of metal structures and parts of structures
25620 	Machining 
46140 	Agents involved in the sale of machinery, industrial equipment, ships and aircraft. 
46620 	Wholesale of machine tools 
71129 	Other engineering activities
71121	Engineering design activities for industrial process and production
25990	Manufacture of other fabricated metal products n.e.c.

I will need; Name, Job Title, Company Name, Company Phone Number & Email Address (NO LINKEDIN)
Job titles: Operations Manager, Supply Chain, Production, Facilities Manager, Procurement Manager, Managing Director, Services Director
I would like to receive these by latest Thursday 2nd February . ",,2015-04-20,Worksop,United Kingdom,GBP,Marketing
Set up Conversion Tracking on Google: Paid Social Ads,Digital Marketing,Entry ($),Web Analytics,GBP,10.0,remote,ALL,fixed_price,2023-01-30 12:35:11,"Hi,

I am looking for someone to set-up tracking on Google Analytics to track sales that have been generated through Paid Social (FB & IG) ads. 

All access can be granted.

Thanks.",,2021-12-22,Deeside,United Kingdom,GBP,Award-Winning Social Media & PPC Freelancer
I need 4 interior renders designing,Design,Expert ($$$),Interior/Exterior Design,GBP,250.0,remote,ALL,fixed_price,2023-01-30 12:35:11,"I am looking for 4x high quality 3d interior image renders for a new automotive venue/site.
I am looking to for renders of:
- Motor museum concept interior with cars inside a large unit with branding etc.
- Interior of Merchandise/Retail with inspiration taken from PDF pack
- Interior sales showroom/office area with inspiration taken from PDF pack
- Cafe area on the Mezzanine 'circular design' inspiration in PDF pack",,2019-10-07,Nottingham,United Kingdom,GBP,Business Growth Mentor and Coach
Abandoned Church Layout Drawings ASAP Please!,Design,Expert ($$$),Interior/Exterior Design,GBP,28.0,remote,ALL,hourly,2023-01-30 12:35:11,"We are looking to purchase an abandoned church to convert into a 4 bedroom house. In order to submit an offer, we need some sketches of what we propose for the building.

As an example: 
Downstairs: Kitchen/Dining space, lounge/snug, downstairs toilet
Upstairs: Family bathroom, 4 bedrooms, one with ensuite ideally

We would need this to be done today/ tomorrow latest so please get in touch if you are interested!

I understand this is a brief description however at this stage it just needs to be ideas of what can fit in the space... 

Link for the church below where you can find floorplan:
https://www.rightmove.co.uk/properties/130762709#/?channel=RES_BUY

I have photos of the building too.",,2021-04-26,Harrow,United Kingdom,GBP,
SHOPIFY THEME ADJUSTMENT + ADDITION,Design,Entry ($),Web Design,GBP,15.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"Looking for 5 Star, Top Certified PPH User, reliable and fast.

Low but consistent rates offered for long term working relationship, with more work.

1- Need to make a couple of mobile view corrections [simple]

2- add Video Blocks to edit theme homepage [ie: new section type] that allows large high res video blocks to play like in the reference https://marcopanconesi.com
",,2021-05-15,Islington,United Kingdom,GBP,
1-2 Hr (max) Photoshoot in Barnsley ,"Video, Photo & Image",Expert ($$$),Professional Photography,GBP,186.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"We have recently installed some flooring at a building in Barnsley and need to capture imagery for marketing purposes, ideally in an architectural style. The person would need to travel on their own to the venue, report to customer services and sign in for the duration of the shoot. We are based in Leicester AND our photographer is busy with another project, hence the reason for outsourcing. ",,2019-10-10,Leicester,United Kingdom,GBP,
4500 words english to portuguese in 12 hours ,Writing & Translation,Intermediate ($$),Translation,EUR,80.0,remote,ALL,fixed_price,2023-01-30 13:11:34,Hello I need 4500 words translated from English to  European Portuguese   but i need it done in a rush so I need it completed in today. If you can help complete this task on time please let me know costs and turn around time. thanks ,,2023-01-30,Caldas da Rainha,Portugal,EUR,
Put content from 42 page word document on to a website page,Technology & Programming,Entry ($),Website Development,GBP,20.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"Hi,

I have a 42 page report in Word and want it to be put on to a single page including all links and anchor links from the contents page to jump to the correct section.

The page need to made using existing Divi Wordpress editor so only someone with experience with the Divi theme should come forward. Need someone that can has good eye for detail and ensures good quality when copy pasting content over. Also, someone that can make use of Divi components so the page is easy to update in the future.

Full word document will be provided. It is mostly just text but with a few pictures here and there too.",,2014-05-19,London,United Kingdom,GBP,
We need a london based person to post samples to clients Weekly,Business,Intermediate ($$),Administration Assistance,GBP,10.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"Calling all London-based people.

We are a packaging company and need somebody that can look after all of our samples-and post them out to our clients on a weekly basis.

There are very little to start. But the money represents posting every five clients.

Which can be done in one go. Once a week 

",,2013-09-10,London,United Kingdom,GBP,PouchSmart is a design agency that help smaller brands get better services
Vietnamese speaking - company check,Business,Entry ($),Consulting,GBP,45.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"I need a Vietnamese speaking person, who is able to check a company/documents for me.

A short consultation required 15-20 min.",,2013-07-18,City of London,United Kingdom,GBP,VAT senior
I would like a book of poetry designed as a video,"Video, Photo & Image",Expert ($$$),Videography,GBP,99.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"i would like book of poetry approx 48 pages designed as a video -

Approx 48 pages

Designed with voice over - Images Video relevant to each poem

https://www.amazon.co.uk/Mysterious-Mind-Emma-Szczambura/dp/B09XZGV2CQ",,2017-06-08,London,United Kingdom,GBP,Business
I need 4 products designed for a supermarket product,Design,Expert ($$$),Label & Merchandising,GBP,211.0,remote,ALL,fixed_price,2023-01-30 12:07:13,"We are a mushroom farm that produces fresh White Button Mushroom and Dried Mushroom supplement (Capsule). I will share the Brand identity for these products, however I do not want the identity to be the full guide. I'd like something fresh using some of our brand colors.

Products:
Mushroom Punnet 250G
Large Box holding 12 Punnets
Dried Mushroom Supplement (Vitamin D fortified)
Basil+Rosemary+Mushroom (Essential Oil Fortified)

I will attach references to how each package will be shaped and sized. You can reference them for how premium they look.

",,2022-01-07,Sobrado,Spain,EUR,
Video Production Company Proposal,Design,Expert ($$$),Graphic Design,GBP,19.0,remote,ALL,hourly,2023-01-30 11:22:27,"We are a Video Production company who are looking to update their proposal document. 
Our current proposal was made in photoshop which although gets the job done, is time-consuming when needing to update the document to accommodate the next project/client. 
We are looking for someone to produce a new design within Adobe Indesign which is eye-catching, yet simple and clear. The template needs to be easy to update, saving us a fair amount of time in the pre-production process. 

Every page will stay the same, apart from the (How much will it cost?) page. This will be updated to suit each project. We need to be able to change the project brief and the Cost table. Not all roles will be needed, however, there will always be three columns: ROLE, QUANTITY & RATE. 
We need the cost page to be as simple and as easy to fill out as possible. 
It would be great if a new row in the cost table could be made effortlessly.
It would also be great if somehow the 'Quantity' and 'Rate' columns synced up. So that when the quantity (days) changed, the 'Rate' would update alongside it. 
This would also be great in connection to the final costs section. (All of the 'Rates' automatically add up to produce a total figure). These are all in replacement of having to change things manually. 

We aren't familiar with InDesign and simply want the quickest and easiest process to be able to change the 'How much will it cost?' page, so we have no idea if any of this is possible. 

We are open to any ideas which could help us with what we are after. 

 
",,2023-01-25,Runcorn,United Kingdom,GBP,
Final edit of a 6 mins video that has been half edited,"Video, Photo & Image",Entry ($),Filmmaking,GBP,20.0,remote,ALL,hourly,2023-01-30 11:21:46,"This is a project that would need to edited this week and finsihed by Thursday or Friday morning latest. The project that has been half edited in premier pro. We just need a bit of resizing, sound mix and some subtitles and a title.
The total video would be around 6 mins. Preferably a time zone not too different to UK as we can't have delays due to working hours.
Pls contact Sofia asap",,2023-01-30,Greenford,United Kingdom,GBP,
Help with dissertation proposal public health masters,Writing & Translation,Expert ($$$),Research Writing,USD,109.0,remote,ALL,fixed_price,2023-01-30 11:18:49,"I would like some editing help and proofreading for my dissertation proposal. The topic is about public health, obesity in kids in the UK ",,2023-01-30,Kuwait City,Kuwait,USD,
Proposal Photography ,"Video, Photo & Image",Intermediate ($$),Professional Photography,GBP,80.0,onsite,GB,hourly,2023-01-30 11:21:20,"This Saturday 4th Feb I am planning on proposing to my other half and am playing with the idea of asking someone to capture the moment. I’m planning on proposing somewhere called the Hucking Estate near Maidstone, about a 15 min walk from the car park. It would be I would imagine about an hour or 90 mins of your time in person around midday ish. If you’re interested it would be great to organise a phone call. ",1 day or less,2023-01-30,London,United Kingdom,GBP,
Responsive HTML Email Signature Developer,Design,Entry ($),Graphic Design,GBP,40.0,remote,ALL,fixed_price,2023-01-30 10:41:18,"Simple email signature graph creation with some social media links. Original artwork files for logo is available. Need in a format usable in Outlook. 

",,2022-09-20,London,United Kingdom,GBP,
Someone to generate an inoice,Business,Entry ($),Finance & Accounting,GBP,9.0,remote,ALL,hourly,2023-01-30 10:45:13,I need an accountant to generate an invoice now or show me how to generate an inoice ,,2019-04-26,Northampton,United Kingdom,GBP,
Enforcing a Tomlin Order,Business,Expert ($$$),Legal Services,GBP,1000.0,remote,ALL,fixed_price,2023-01-30 10:48:26,"I need someone to enforce a Tomlin Order made in the UK
There is property In Cyprus that the other parties have agreed to transfer to me but hasn't happened as they are in dispute with their executor they appointed in Cyprus over the fees he's charging
Consequently the transfer they agreed to do within 7 Days from the date of the Tomlin order has not been complied with",,2023-01-30,Canterbury,United Kingdom,GBP,
Front End Web Developer Wanted For Music Application REACTJS,Technology & Programming,Expert ($$$),Website Development,USD,600.0,remote,ALL,fixed_price,2023-01-30 10:47:00,"We are looking for an experienced front end web developer with experience designing and implementing pages, implementing apis etc.

The music application has-

-User registration
-Music sales
-Playlist feature
-Job posts  and bids

Candidate will be responsible for designing and implementing the user interface for our website.  We have existing pages but some will need to be created to complete the userflow before we commence..

You should have experience in creating clean, modern, and responsive designs that are both aesthetically pleasing and user-friendly.

Good Luck!",,2010-11-20,London,United Kingdom,GBP,ENTERTAINMENT MEDIA
Backend Developer Wanted For Music Application (Nodejs),Technology & Programming,Expert ($$$),Website Development,USD,850.0,remote,ALL,fixed_price,2023-01-30 10:47:00,"We are seeking a highly skilled and motivated Backend Web Developer to build the backend infrastructure for our website.

The backend of the website includes the following features:

- Admin Management
-User Management
-Job Listing Management
- Database Management 
- EC2 & S3 (aws)
-Messaging Management
-Commission Management
-Beat/Music Sales Management
-Music playlist Management
-Reporting System
-Dispute Management

Candidate should have experience in building robust and scalable backend systems, as well as a deep understanding of server-side programming languages, databases, and web application architecture.

Good luck!",,2010-11-20,London,United Kingdom,GBP,ENTERTAINMENT MEDIA
Adding filters to SVG Map in Wordpress / HTML,Technology & Programming,Entry ($),Website Development,EUR,52.0,remote,ALL,fixed_price,2023-01-30 10:47:00,"Reposting because of time wasters. I do not need a design I need someone who know how to write code to make the Map interactive.   Do not propose if you have never done this work. 

1. Have Filter options as per the example
2. Have Hover tooltips and hotspots. 

How it should look with filters:  https://www.dropbox.com/s/0bzx6n9nmn6e6lw/Screen%20Shot%202023-01-21%20at%2009.48.00.png?dl=0
Link to Map: https://www.dropbox.com/sh/jpo9xp0dyde14z4/AAC1DBKZ1xZbAQUd4OQGYBRQa?dl=0

Project Already Started here: https://www.dropbox.com/sh/hcdbaprc7g2but0/AABPLp4s1e3SfyCg_KRyJtFRa?dl=0

",1 day or less,2013-10-26,Ko Pha Ngan,Thailand,EUR,Web Designer / Project Manager
 highly available and scalable MsSQL 2019 server.,Technology & Programming,Intermediate ($$),ERP/CRM Development,USD,26.0,remote,ALL,hourly,2023-01-30 10:48:41,Need technical plan and guidance on creating a highly available and scalable MsSQL 2019 server.,,2016-04-10,Ghaziabad,India,USD,Cloud Devops Engineer and Solution Architect- Azure and AWS
